method,id,"Alter correctness
distance [m]"
uniform,1.0,513.6
uniform,1.0,599.2
uniform,1.0,684.8000000000001
uniform,1.0,428.0
uniform,1.0,922.4000000000002
uniform,1.0,770.4000000000001
uniform,1.0,849.6000000000001
uniform,1.0,342.4
uniform,1.0,1014.4000000000001
uniform,1.0,1100.0
uniform,1.0,inf
uniform,1.0,1291.9999999999998
uniform,1.0,1377.5999999999997
uniform,1.0,1540.3199999999995
uniform,1.0,1206.3999999999999
uniform,1.0,1120.8
uniform,1.0,1035.2
uniform,1.0,1548.7899999999997
uniform,1.0,1548.7799999999997
uniform,1.0,1463.1899999999996
uniform,1.0,843.2
uniform,1.0,757.6000000000001
uniform,1.0,928.8000000000001
uniform,1.0,672.0000000000001
uniform,1.0,1014.4000000000001
uniform,1.0,1100.0
uniform,1.0,1185.6000000000001
uniform,1.0,1271.2
uniform,1.0,592.8000000000001
uniform,1.0,1356.8
uniform,1.0,1442.3999999999999
uniform,1.0,1356.7999999999997
uniform,1.0,1271.1999999999998
uniform,1.0,1527.9999999999998
uniform,1.0,1020.8000000000002
uniform,1.0,1185.6
uniform,1.0,1093.6000000000001
uniform,1.0,1613.5999999999997
uniform,1.0,941.6000000000001
uniform,1.0,856.0000000000001
uniform,1.0,1527.9999999999998
uniform,1.0,1613.5999999999997
uniform,1.0,1699.1999999999996
uniform,1.0,1442.3999999999999
uniform,1.0,1784.7999999999995
uniform,1.0,1870.3999999999994
uniform,1.0,1356.8
uniform,1.0,1955.9999999999993
uniform,1.0,2041.5999999999992
uniform,1.0,2127.189999999999
uniform,1.0,1784.7999999999995
uniform,1.0,1699.1999999999996
uniform,1.0,1870.3999999999994
uniform,1.0,1613.5999999999997
uniform,1.0,1784.7999999999995
uniform,1.0,1527.9999999999998
uniform,1.0,1442.3999999999999
uniform,1.0,1699.1999999999996
uniform,1.0,1356.8
uniform,1.0,1271.1999999999998
uniform,5.0,2041.5999999999992
uniform,5.0,1955.9999999999993
uniform,5.0,2127.1999999999994
uniform,5.0,1870.3999999999994
uniform,5.0,2212.7999999999993
uniform,5.0,1784.7999999999995
uniform,5.0,1699.1999999999996
uniform,5.0,2298.399999999999
uniform,5.0,1613.5999999999997
uniform,5.0,1527.9999999999998
uniform,5.0,inf
uniform,5.0,1882.7199999999991
uniform,5.0,1891.1899999999994
uniform,5.0,1548.7799999999997
uniform,5.0,1805.5899999999992
uniform,5.0,1463.1799999999996
uniform,5.0,1719.9999999999993
uniform,5.0,1719.9999999999993
uniform,5.0,1377.5999999999997
uniform,5.0,1634.3999999999994
uniform,5.0,1271.1999999999998
uniform,5.0,1185.6
uniform,5.0,1356.7999999999997
uniform,5.0,1100.0
uniform,5.0,1442.3999999999996
uniform,5.0,1527.9999999999998
uniform,5.0,1014.4000000000002
uniform,5.0,1613.5999999999997
uniform,5.0,1699.1999999999996
uniform,5.0,1784.7999999999995
uniform,5.0,2127.1999999999994
uniform,5.0,2212.7999999999993
uniform,5.0,2041.5999999999992
uniform,5.0,2127.1999999999994
uniform,5.0,1955.9999999999993
uniform,5.0,2041.5999999999992
uniform,5.0,1870.3999999999994
uniform,5.0,1955.9999999999993
uniform,5.0,1784.7999999999995
uniform,5.0,1699.1999999999996
uniform,5.0,1455.1999999999996
uniform,5.0,1369.5999999999997
uniform,5.0,1369.5999999999997
uniform,5.0,1283.9999999999998
uniform,5.0,1283.9999999999998
uniform,5.0,1198.3999999999999
uniform,5.0,1112.8
uniform,5.0,1198.3999999999999
uniform,5.0,1027.2
uniform,5.0,941.6000000000001
uniform,5.0,856.0000000000001
uniform,5.0,770.4000000000001
uniform,5.0,684.8000000000001
uniform,5.0,941.6000000000001
uniform,5.0,599.2
